ProteinIndex,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,Score
Q6DBA5,0.432411924,0.287804878,0.36097561,0.131707317,0.5,-0.327,0.494033,1
A0A3Q7G920,0.479117063,0.203125,0,0,-0.33,-0.169,0.579272,1
F4IP06,0.378660578,0.41369863,0.476712329,0.205479452,-0.09,-0.41,0.563427,1
A0A0P0VXE8,0.436061801,0.192307692,0,0.035502959,2.01,-0.082,0.33687,1
A0A8D9MID4,0.444907407,0.3375,0.258333333,0.154166667,0.22,-0.545,0.946689,1
A0A3B6EQA9,0.414569536,0.291390728,0.463576159,0.066225166,-0.31,-0.331,0.39112,1
A9TAJ3,0.439930556,0.256628788,0,0,1.63,-0.135,0.721832,1
Q851A1,0.432129421,0.244920993,0.077878104,0.066591422,1.65,0.121,1.07087,1
Q84R15,0.469379413,0.224916388,0.113712375,0.105351171,2.53,-0.069,0.620405,1
Q5JJP8,0.444079398,0.281314168,0.125256674,0.166324435,0.16,-0.213,0.837781,1
A0A3P6A8X3,0.441133558,0.277777778,0,0,-0.97,-0.276,0.292421,1
Q0JL82,0.440435155,0.279427943,0,0.051705171,-0.09,-0.326,0.567004,1
A0A3B6PM36,0.462229938,0.236111111,0.138888889,0.184027778,0.21,-0.306,0.823111,1
A0A3Q7FY41,0.377152778,0.291666667,0.15625,0.127083333,4.4,0.114,1.51944,1
A0A1I9LNX3,0.402856394,0.370283019,0.188679245,0.073113208,0.81,-0.473,-0.108958,1
A0A3Q7H6A8,0.498954248,0.180748663,0,0,0.82,-0.237,0.901032,1
A0A1D6LXS9,0.410135135,0.317567568,0.22972973,0.114864865,-0.28,-0.444,0.00720394,1
K4B730,0.391719078,0.341509434,0.096226415,0.209433962,2.28,-0.253,0.738641,1
Q5JK67,0.495990205,0.26446281,0,0.05785124,-0.62,-0.354,0.886705,1
A9RLC6,0.424538064,0.297117517,0.514412417,0.075388027,-0.73,-0.345,0.92083,1
P46665,0.407638889,0.294642857,0.366071429,0.130952381,-0.2,-0.33,0.0530903,1
A0A3B6A116,0.401003218,0.238500852,0.672913118,0.313458262,2.69,0.068,0.504913,1
A0A3P5YRQ7,0.41716014,0.363896848,0.128939828,0.11747851,0.18,-0.539,0.257659,1
A0A1D6JDA5,0.515351213,0.179310345,0,0.064367816,-0.32,-0.28,0.408142,1
A0A3B6LX99,0.42962963,0.319892473,0.239247312,0.206989247,1.11,-0.196,0.364428,1
A0A3Q7IJW3,0.445226917,0.302816901,0.288732394,0.521126761,2.61,-0.427,-0.796517,1
Q9ZPW6,0.396710526,0.35745614,0.120614035,0.081140351,-0.26,-0.264,1.92004,1
A0A3B6CG54,0.439358762,0.226368159,0.208955224,0.082089552,2.75,-0.093,0.449617,1
A0A804RQC9,0.461848958,0.20703125,0,0.09765625,1.6,-0.196,1.06006,1
A0A2K3DDH5,0.454869518,0.221549637,0,0.061743341,4.2,-0.222,0.820677,1
A0A3B6EIW4,0.401485443,0.315508021,0.443850267,0.07486631,0.09,-0.423,1.64173,1
A0A3Q7GFE4,0.423717949,0.274038462,0,0.067307692,2.76,-0.096,1.32569,1
Q7XA68,0.414850949,0.341463415,0.224390244,0.126829268,-0.36,-0.418,0.627135,1
A0A385H9C9,0.444954649,0.303571429,0,0,-0.43,-0.469,0.308561,1
A0A3Q7EFW8,0.453417015,0.292887029,0.016736402,0.09623431,-0.36,-0.389,0.270809,1
A0A3B6T972,0.478242501,0.209125475,0.025348542,0.057034221,4.31,0.001,0.664625,1
A0A3Q7HUP0,0.447403269,0.242706394,0,0.018621974,2.02,-0.172,1.02672,1
A0A804LVU1,0.440551181,0.208661417,0.122047244,0,1.66,-0.007,0.957683,1
A0A2K3CZK2,0.458769513,0.195592287,0,0.044077135,0.62,-0.189,0.487499,1
Q5KQE3,0.443798092,0.227146814,0.105263158,0.049861496,1.45,-0.038,0.630647,1
A0A7I4EKD8,0.501951952,0.162162162,0,0.121621622,2.37,-0.284,0.998881,1
A0A3Q7FPV5,0.427283304,0.235602094,0.183246073,0.366492147,1.18,0.099,0.507102,1
A0A3Q7FVX5,0.47625731,0.189473684,0,0.094736842,0.13,-0.225,1.71294,1
F4KFW5,0.461185582,0.222520107,0,0.085790885,0.37,-0.248,0.807658,1
A0A1P8BGU4,0.411810237,0.302621723,0.034456929,0.074906367,1.92,-0.051,1.29842,1
A0A3Q7GBP5,0.453976171,0.284289277,0.00872818,0.081047382,0.52,-0.311,0.993866,1
A0A3Q7IQP1,0.488235294,0.117647059,0,0,NA,0.018,1.20829,1
A0A2K3D076,0.43541214,0.179921773,0.06779661,0.441981747,5.73,0.863,1.889,1
A0A3P5Z5E9,0.387807276,0.331366765,0.663716814,0.1179941,3.76,0.291,1.2116,1
A0A3Q7GSL9,0.441414141,0.335664336,0.566433566,0,-0.22,-0.453,-0.14782,1
A0A3P5YST4,0.439818064,0.287719298,0.154385965,0.104093567,0.38,-0.253,1.07886,1
A0A2K3CZM8,0.480068894,0.098774333,0.382840663,0.596250901,8.61,0.297,3.56463,1
A0A3P5Y4F0,0.479633344,0.220661986,0.027081244,0.059679037,1.97,-0.085,1.12244,1
A8HU66,0.46904592,0.19379015,0,0.160599572,1.98,0.138,0.484967,1
A0A3P5Y6C2,0.444458438,0.23929471,0,0,2.73,-0.315,0.777617,1
A0A3P6CQ89,0.43287037,0.297619048,0.494047619,0.160714286,0.35,-0.226,-0.183709,1
A0A3B6PKJ2,0.450955414,0.286624204,0,0.232484076,-1.09,-0.34,0.451463,1
A0A2K3DUN4,0.450247601,0.171309192,0.121169916,0.185236769,5.08,0.066,0.486797,1
A0A2K3CY53,0.467356359,0.167155425,0.002443793,0.698924731,7.33,0.462,1.68794,1
A0A3B6B5F8,0.441066814,0.212624585,0,0.074750831,1.54,-0.007,0.702833,1
A0A2K3DN94,0.476781088,0.13115285,0.07253886,0.449481865,9.32,0.292,3.24504,1
A0A2K3DW82,0.451734893,0.236842105,0.073684211,0.164912281,4.79,-0.062,0.91428,1
A0A0N7KG11,0.468604651,0.296511628,0,0,-0.23,-0.586,-0.155383,1
A0A2K3DQZ8,0.482362619,0.100691017,0,0.516288253,7.4,0.607,3.1836,1
Q0DZA4,0.410515873,0.333333333,0.255952381,0.077380952,0.81,-0.486,-0.0420312,1
A0A2K1J0Q5,0.381146809,0.226907631,0.02811245,0.228915663,2.18,0.241,0.752836,1
A0A2K3D0P1,0.486701162,0.141339869,0.010620915,0.216503268,4.41,0.142,1.46382,1
A0A8D9G250,0.422405295,0.25982256,0.221799747,0.149556401,2.45,-0.094,0.925371,1
Q9XGZ2,0.482189055,0.216915423,0,0.067661692,0.63,-0.163,1.08436,1
F4J9K9,0.395938583,0.402674591,1,0.101040119,0.37,-0.597,0.293156,1
A0A1D6GX90,0.464659396,0.216216216,0,0.049786629,0.78,-0.144,0.91575,1
Q7X9V2,0.425428494,0.311435523,0.203406326,0.083211679,2.86,-0.169,0.982856,1
Q6ZHH2,0.386357243,0.351265823,0.449367089,0.275316456,0.17,-0.373,0.49191,1
B4FSV9,0.541475827,0.139312977,0.083969466,0.076335878,0.3,-0.207,0.427156,1
A0A3Q7I5N5,0.437254902,0.22755418,0,0.055727554,4.63,0.148,0.967158,1
A0A3B6CA14,0.516012698,0.187428571,0,0.026285714,2.15,-0.2,0.538384,1
A0A3B6RE53,0.441122974,0.298932384,0.220640569,0.185053381,0.16,-0.283,0.689046,1
A0A2K3DEV9,0.551894521,0.112903226,0,0.02764977,0.5,-0.149,0.308953,1
Q9LU73,0.44164505,0.25,0,0.111867704,0.94,0.133,1.01739,1
A0A2K1J7V5,0.491387773,0.178714859,0,0,0.16,-0.149,0.890201,1
A9TBZ8,0.403152455,0.386046512,0.553488372,0.2,-0.79,-0.554,0.26733,1
F4I6G9,0.487222222,0.233333333,0,0.076666667,0.75,-0.162,1.02775,1
A0A804NN94,0.442857143,0.272321429,0.171875,0.071428571,0.46,-0.364,0.862284,1
Q0DNR7,0.46661125,0.189526185,0,0.06234414,1.64,-0.157,0.896131,1
A0A2K3DBW7,0.407785888,0.391727494,0.238442822,0.260340633,2.03,-0.172,0.0138688,1
A0A0P0V7D8,0.44355687,0.301775148,0.050295858,0.147928994,2.49,-0.271,1.73471,1
A0A397YCJ0,0.383197832,0.329268293,1,0.312195122,5.55,-0.186,2.00394,1
A0A1D6EV59,0.434745964,0.22008547,0,0.03525641,2.88,-0.028,1.41455,1
A0A2K1KAA5,0.446244772,0.265139116,0.109656301,0.019639935,2.82,-0.168,0.68555,1
A0A3P5Y4Z0,0.459129305,0.173976608,0.09502924,0.074561404,1.03,-0.092,0.542501,1
A0A804MQT8,0.431979291,0.17921147,0.132616487,0.310035842,3.75,0.076,1.63657,1
A0A7I4A432,0.51814059,0.182103611,0,0.028257457,0,-0.217,0.496974,1
A0A2K3E736,0.461201402,0.18499044,0.041108987,0.303537285,4.65,0.137,1.18368,1
A0A7I4EIT9,0.436095679,0.298611111,0.327777778,0.184722222,0.92,-0.218,0.24959,1
A0A2K1K425,0.437302603,0.245838668,0.361075544,0.157490397,2.45,-0.187,1.86038,1
A0A804MNR8,0.416221648,0.343669251,0.126614987,0.279069767,-0.31,-0.266,1.32881,1
A0A2K3CZ35,0.502538494,0.16011236,0,0.168539326,2.78,0.003,0.764777,1
B4FV64,0.453294002,0.209439528,0.109144543,0.067846608,2.95,0.014,0.760204,1
A0A3Q7HNT5,0.451751616,0.248985115,0.066305819,0.104194858,3.29,0.165,0.945137,1
A0A0P0VVR4,0.4632493,0.231932773,0.102521008,0.03697479,1.99,-0.13,0.601145,1
A0A3B5Y7M5,0.41451782,0.318396226,0.548349057,0.248820755,2.98,-0.048,1.5797,1
A0A2K3E332,0.489051491,0.174722838,0,0.164079823,3.63,0.074,1.54502,1
A0A3Q7IZB8,0.462720097,0.278688525,0,0,-0.54,-0.4,0.298416,1
A0A3Q7J1Z3,0.444022092,0.256578947,0.072368421,0.036549708,1.95,0.028,0.897568,1
A0A3B6FZ97,0.507478329,0.191489362,0.042553191,0.081560284,4.02,-0.134,0.781113,1
A0A1I9LMX9,0.459806763,0.202898551,0,0.095652174,1.21,-0.213,0.815793,1
A0A2K3DF89,0.464686554,0.192996109,0.036575875,0.538521401,9.2,0.341,1.56154,1
A0A3B5XSW2,0.489266818,0.204081633,0,0.12244898,-1.27,-0.263,1.49006,1
A0A0P0XQE0,0.476095238,0.184285714,0.077142857,0.095714286,2.05,-0.042,0.581592,1
A0A3Q7J7P9,0.434601044,0.33557047,1,0,-0.77,-0.466,-0.343617,1
A0A3B6AQI3,0.427849104,0.181169757,0,0.02853067,3.14,0.129,0.879403,1
A0A8D9I5Q7,0.432756133,0.324675325,0.735930736,0.363636364,0.24,-0.296,0.45014,1
A0A8D9LT87,0.495419103,0.166666667,0,0.144736842,0.91,-0.23,0.510957,1
A0A3Q7EV95,0.478870674,0.174863388,0,0.025500911,0.62,-0.212,0.850065,1
Q0J174,0.426186186,0.372972973,0,0,0.03,-0.55,0.664429,1
A0A3B6ELG5,0.490801833,0.181443299,0,0.077319588,1.13,-0.069,0.839676,1
A0A3B6UA66,0.423614606,0.261701057,0.201308505,0.060895823,3.13,0.06,1.27582,1
A0A2K3DIS0,0.472068207,0.115841584,0,0.211881188,4.81,0.099,0.567739,1
B6T6D7,0.457159834,0.310160428,0,0.053475936,-1.56,-0.592,-0.436059,1
A0A2K1KIR6,0.502080083,0.187207488,0,0.065522621,1.81,-0.222,0.487467,1
A0A2K3DLV7,0.42526936,0.234848485,0.31969697,0.253030303,4.91,-0.077,1.47284,1
Q9FE52,0.416356877,0.317843866,0.143122677,0.115241636,2.63,-0.371,0.818734,1
A0A3Q7IDA7,0.464492754,0.288043478,0,0.081521739,0.16,-0.517,0.279859,1
A0A3Q7GI72,0.47234144,0.193133047,0,0,-0.53,-0.251,0.598303,1
F4JDV4,0.449111585,0.250533049,0.008528785,0.054371002,2.69,-0.182,0.913071,1
Q93W51,0.483918129,0.230994152,0,0.090643275,-0.59,-0.268,0.483644,1
A0A3B6JGT4,0.504253286,0.193548387,0,0.079569892,1.93,-0.107,0.748916,1
A0A2K1ITY9,0.353134981,0.393343419,1,0.30408472,2.61,0.037,2.04928,1
A0A3P6ACK7,0.459687208,0.210084034,0,0,1.01,-0.125,0.789967,1
Q9C6B3,0.482533973,0.212230216,0,0,0.22,-0.311,0.931448,1
C0P3W9,0.458404131,0.223388306,0.103448276,0.064467766,1.11,-0.192,0.853871,1
A0A3B6PIN2,0.423529412,0.299019608,0.181372549,0,1.47,-0.473,0.536751,1
A0A3B6DMD7,0.448188406,0.307971014,0.152173913,0.134057971,0.59,-0.425,-0.206905,1
A0A2K3D1T7,0.424534687,0.214467005,0.743654822,0.598984772,4.02,0.329,1.9591,1
A0A0P0Y5K5,0.423212321,0.235643564,0.095049505,0,2.5,-0.141,1.01515,1
A0A2K3D7H8,0.497407407,0.174074074,0,0.101851852,1.23,-0.131,0.669231,1
A0A0P0WV74,0.461471861,0.225501771,0.061393152,0.016528926,2.64,-0.157,0.240099,1
A0A804N8C9,0.462655827,0.224390244,0,0,1.24,-0.323,1.12961,1
A0A804N6T1,0.432949056,0.244071146,0.065217391,0.048418972,2.6,-0.084,1.15881,1
A0A2K3CWH5,0.442329896,0.185639229,0.117338004,0.669585522,8.1,0.732,1.95292,1
A0A3P6B175,0.431252098,0.205438066,0,0.039274924,3.65,-0.143,0.572689,1
A0A3B6B055,0.475456053,0.186567164,0,0.125,2.01,0.12,0.474251,1
A0A2K1KVG6,0.43720901,0.317100793,0.328425821,0.192525481,0.76,-0.313,1.14307,1
A0A3Q7EML1,0.436897881,0.239884393,0.144508671,0,1.59,-0.099,0.814127,1
Q8L751,0.424119574,0.28009828,0,0.114250614,2.75,0.017,1.12122,1
F4JCR3,0.42915716,0.276291226,0.023646546,0.04542626,2.77,-0.069,1.01629,1
A0A3P5YC41,0.432579186,0.254901961,0.224736048,0.090497738,2.91,-0.057,0.95636,1
A0A3Q7F0W0,0.48544323,0.183060109,0.012295082,0.053278689,3.65,-0.124,0.456413,1
K7UXA1,0.395125786,0.20754717,0.297169811,0.202830189,3.29,-0.026,0.845099,1
A0A3Q7IE97,0.404490902,0.341463415,0,0.142857143,-0.41,-0.562,0.333603,1
A0A3P6CUJ4,0.337192118,0.465517241,1,0.277093596,3.05,-0.241,1.99139,1
A0A3B6KCJ3,0.444022169,0.263657957,0.026128266,0.085510689,1.76,-0.255,1.29746,1
A0A804LGR4,0.450249433,0.302040816,0,0,-0.46,-0.404,-0.331104,1
B6TN68,0.402735902,0.326633166,0.628140704,0.231155779,3.39,-0.277,0.772929,1
A0A8D9CYA6,0.422751323,0.238756614,0.07473545,0.181878307,5.14,0.027,1.27858,1
Q9LGR0,0.428653146,0.280811232,0.184087363,0.113884555,1.34,-0.127,1.63866,1
Q5SMK9,0.458285714,0.28,0.16,0.211428571,2.55,-0.319,0.490162,1
Q41782,0.460452399,0.214765101,0.07606264,0.089485459,0.61,-0.158,0.536375,1
A0A8D9I3G6,0.388612836,0.341614907,0.236024845,0.062111801,-1.55,-0.441,0.394599,1
A0A2K3CW52,0.452818607,0.17739483,0.0299037,0.493157628,8.42,0.275,1.78444,1
A0A0P0VX17,0.418121693,0.30952381,0.482142857,0.130952381,0.77,-0.377,-0.0165805,1
A0A3Q7JRY5,0.394557823,0.19047619,0.108843537,0.176870748,-0.45,0.154,0.754404,1
Q9LSS2_ARATH,0.440848176,0.244274809,0,0.079389313,3.08,-0.147,0.856289,1
Q652A2,0.478614598,0.292887029,0,0.133891213,-1.78,-0.44,0.364836,1
A0A2K3CXG3,0.466004606,0.071243523,0.211139896,0.418393782,9.23,0.171,-0.218372,1
A0A3P6A175,0.428831418,0.206896552,0.163793103,0.16954023,2.8,-0.083,0.914819,1
A0A804NKZ0,0.394484412,0.175059952,0.146282974,0.230215827,7,0.565,2.31364,1
A0A2K1J3J7,0.476504298,0.197707736,0,0,1.74,-0.164,0.594448,1
Q0J0Q3,0.489421296,0.16875,0,0.079166667,2.85,-0.155,0.802463,1
A0A2K3D746,0.451968303,0.197852761,0.406441718,0.470092025,3.96,0.165,1.24679,1
A0A3B6BWQ1,0.410784314,0.246498599,0.068627451,0.014005602,2.13,0.051,1.145,1
A0A3P5YWF2,0.422286448,0.341040462,0.052023121,0.190751445,-1.19,-0.573,-0.296358,1
A0A8D9G1M9,0.446282462,0.264674493,0,0.019210245,2.36,-0.106,1.04496,1
A0A8D9GXN0,0.45186824,0.238938053,0,0,-0.53,-0.233,0.591981,1
A0A2K3CTV1,0.494923479,0.191489362,0,0.169092945,4.11,0.1,1.56647,1
A0A2K3DRH4,0.468376068,0.189542484,0.142785319,0.293112117,6.16,0.499,1.7395,1
Q9SYM4,0.450554376,0.247346072,0,0.074309979,1.55,0.102,0.822752,1
A0A2K1L9A9,0.48305819,0.199157007,0,0.05374078,0.75,-0.105,0.749994,1
A0A2K1IN50,0.45994561,0.314685315,0.096153846,0.145104895,0.76,-0.412,0.744783,1
Q9FMH4,0.464916719,0.187855787,0,0.05313093,3.66,0.229,0.874045,1
A0A3Q7ITP0,0.437521775,0.271301977,0.017041581,0.107021132,1.79,-0.154,1.1764,1
A0A2K1KP43,0.433399668,0.337313433,0.274626866,0.059701493,0.22,-0.323,0.603367,1
A0A2K3CWH8,0.461615071,0.180345572,0.193304536,0.571274298,8.41,0.252,3.31651,1
A0A2K3E549,0.511212582,0.178082192,0,0.054794521,0.79,-0.225,0.479838,1
A0A3Q7EPA9,0.444533443,0.237215034,0.064695009,0.101047443,5.33,0.08,1.38869,1
Q10JU0,0.442866667,0.262,0.142,0.034,1.01,-0.218,1.0672,1
A0A3B6LJL3,0.412491582,0.283333333,0,0,2.26,-0.048,1.0282,1
F4K9W2,0.418756018,0.279029463,0,0.05372617,2.95,0,1.65421,1
Q6K907,0.484626526,0.184357542,0,0.05027933,1.55,-0.252,0.866629,1
F8WS85,0.520300864,0.143431635,0,0.063002681,0.63,-0.212,0.655363,1
Q8LFJ8,0.462110312,0.194244604,0,0.053956835,1.83,0.104,0.112747,1
Q9LJN1,0.284657837,0.437086093,1,0.112582781,3.16,-0.153,1.5612,1
A0A2K3E714,0.451474381,0.171543895,0,0.371342079,3.99,0.251,0.726046,1
C4J094,0.499206349,0.166666667,0,0,2.66,-0.309,1.23648,1
Q84X74,0.514434948,0.168091168,0,0,0.43,-0.258,0.609542,1
A0A3Q7EW30,0.424547804,0.35755814,0.026162791,0.162790698,-0.88,-0.501,0.333766,1
A0A0P0XA29,0.453803696,0.226781857,0,0.103671706,0.64,-0.026,0.543416,1
A0A3B6NPI0,0.557146013,0.105367793,0.079522863,0.163021869,0.97,-0.186,0.856909,1
A0A1I9LTV6,0.467601445,0.198852772,0,0,2.14,-0.144,1.04356,1
A0A804MUB1,0.435084541,0.168478261,0,0,1.67,0.105,0.674524,1
A0A3P6BLQ1,0.433945923,0.298479087,0.150190114,0.076045627,0.24,-0.264,0.228876,1
C0HEL3,0.431721133,0.183006536,0,0.067973856,3,-0.019,0.679016,1
A0A3B6RF39,0.501194354,0.201954397,0,0.039087948,0.2,-0.394,0.71502,1
A0A3B6IXQ5,0.457772739,0.16553288,0.272108844,0.185941043,2.7,0.032,0.251615,1
A0A3B6HZ28,0.472698413,0.251428571,0,0,-1.13,-0.479,0.324716,1
A0A3B6DAA9,0.323786794,0.412887828,0.976133652,0.217183771,1.82,-0.37,0.688131,1
