UniprotEntry,Hydropathy,FCR,IDR,LCR,Pscore,PLAAC,catGRANULE,temp,RAV,Score
F4I2E4,0.458479532,0.098245614,0,0.077192982,2.1,0.277,0.739964,0.429933333,0.717962464,1
F4I3B3,0.421498127,0.150561798,0.08988764,0.238202247,2.99,0.597,1.23088,0.017590877,0.571046452,1
F4I4P3,0.495906433,0.178328173,0.009907121,0.050154799,1.14,0.001,0.18103,0.226651667,0.330737156,1
F4I5H4,0.443225806,0.191397849,0,0.062365591,2.32,-0.122,0.933163,0.139252333,0.38005958,1
F4I5I4,0.480629828,0.155080214,0,0.427807487,7.96,0.169,2.65785,0.16614,0.689013214,1
F4I6U7,0.366341577,0.257053292,0.696969697,0.264367816,5.81,0.351,1.36468,0.132361833,0.787875869,1
F4I906,0.411863896,0.241192412,0.111111111,0.276422764,8.93,0.382,3.00212,0.0232468,0.664319285,1
F4I983,0.403255295,0.23812709,0.155852843,0.106354515,2.93,0.22,1.75288,0.0356115,0.766090183,1
F4I9J7,0.38679868,0.336633663,0.623762376,0.133663366,-0.55,-0.258,1.50304,0.096647833,0.627561406,1
F4I9R1,0.408229352,0.245989305,0,0.048128342,-0.13,-0.142,0.525741,0.33745,0.788467017,1
F4IAP1,0.499134791,0.12704918,0,0.069672131,2.41,-0.193,0.261465,0.09074,0.355904152,1
F4ICB5,0.464086897,0.264765784,0,0.024439919,0.33,-0.298,-0.209453,0.171863,0.333968771,1
F4ID16,0.440822467,0.118355065,0,0.256770311,7,0.217,1.98868,0.6292,0.756963842,1
F4IDH2,0.41815687,0.216542217,0,0.089029294,5.35,0.528,1.29568,0.207324333,#N/A,1
F4IEC7,0.48226601,0.204433498,0.034482759,0.120689655,4.95,0.117,0.730146,0.167333333,0.587753897,1
F4II62,0.387588982,0.250696379,0.674094708,0.103064067,3.75,0.18,1.34036,0.142568667,0.813389528,1
F4IIG9,0.434387464,0.176923077,0.001282051,0.146153846,3.36,0.013,1.11217,0.069379058,0.764515561,1
F4IIR3,0.41355364,0.230603448,0.1875,0.120689655,2.7,0.064,1.39791,0.157563667,0.708167843,1
F4IIZ8,0.446018771,0.141689373,0,0.277929155,4.81,0.422,0.706623,0.093995833,0.663194327,1
F4IL68,0.468809126,0.225375626,0.113522538,0.105175292,2.53,-0.069,0.621042,0.116994,0.472277777,1
F4IN23,0.409345794,0.224299065,0,0.190031153,1.18,0.191,0.279663,0.217713333,0.752879201,1
F4IN69,0.519494553,0.174117647,0,0.076862745,0.54,-0.096,0.0821184,0.408916667,0.324788335,1
F4IS91,0.374842454,0.361940299,0.378358209,0.232089552,4.55,0.167,1.73829,0.160603833,0.667730806,1
F4IUS5,0.4162655,0.188183807,0.227571116,0.06345733,2.28,0.134,0.39522,0.221550333,0.727888699,1
F4IUY8,0.405798542,0.194831014,0.074552684,0.099403579,4.46,0.443,0.865175,0.0656184,0.686172749,1
F4IWB2,0.439307458,0.256849315,0,0.150684932,4.34,0.003,2.35244,0.179789833,0.557203872,1
F4IXI9,0.380434377,0.297818792,0.543624161,0.143456376,4.37,0.137,2.14555,0.147038517,0.742289455,1
F4IXJ7,0.467524236,0.214765101,0.187919463,0.030201342,0.76,-0.182,-0.172633,0.503683333,0.584503455,1
F4IXZ6,0.439823804,0.208737864,0.058252427,0.148867314,2.83,0.007,0.531915,0.457278333,0.680775542,1
F4J099,0.400740741,0.264705882,0.162745098,0.162745098,3.18,0.108,1.4248,0.03752095,0.576072596,1
F4J152,0.424184261,0.284069098,0.032629559,0,0.62,0.01,0.640073,0.1692125,0.568871045,1
F4J284,0.458178295,0.238372093,0,0.056976744,0.49,-0.017,0.63527,0.146009333,0.384797009,1
F4J381,0.46249602,0.216332378,0,0.007163324,1,-0.186,0.806678,0.072977667,0.392892468,1
F4J3J5,0.40980648,0.160469667,0.405088063,0.258317025,5.74,0.456,0.48946,0.062977267,0.771960839,1
F4J4G9,0.408630245,0.26128266,0.168646081,0.190023753,2.71,-0.001,1.17019,0.272201667,0.780917542,1
F4J5R0,0.447108067,0.260273973,0,0,-2.27,-0.413,-0.488675,0.61225,0.477914395,1
F4J6V1,0.425751476,0.249396135,0.047101449,0.041666667,3.42,-0.017,1.50512,0.168402667,0.772807243,1
F4J7Z6,0.463902573,0.262315271,0,0.033251232,0.42,-0.206,0.363791,0.090633333,0.427057109,1
F4J8D3,0.481727135,0.255102041,0.054421769,0.109693878,0.9,-0.239,0.322086,0.152725,0.357361452,1
F4J8X6,0.452356616,0.216354344,0.064735945,0.183986371,10.31,0.271,1.33773,0.072355167,0.661282042,1
F4JAU3,0.464920104,0.244147157,0,0.100334448,1.59,-0.42,0.564178,0.068493833,0.361799653,1
F4JCQ8,0.395864899,0.278409091,0.119318182,0.105113636,2.79,-0.08,0.948894,0.703816667,0.822771666,1
F4JCS8,0.431335675,0.243645381,0.026038438,0.105393676,3.86,0.012,1.87206,0.241641667,0.739095536,1
F4JCU0,0.382180294,0.283018868,0.156901688,0.14796425,4,0.062,1.77,0.071521567,0.696537072,1
F4JFF2,0.417898866,0.205679202,0.050652341,0.070606293,4.27,0.15,1.48401,0.292482,0.66737037,1
F4JFN7,0.434882155,0.165656566,0.096969697,0.252525253,8.49,0.372,3.19979,0.201688167,0.716359706,1
F4JG57,0.461132438,0.279270633,0.038387716,0,1.74,-0.265,0.940057,0.471906667,0.377419075,1
F4JGZ1,0.474969571,0.177621283,0.043035994,0.071205008,2.74,0.008,0.719267,0.3931,0.430101592,1
F4JH01,0.45529297,0.213369345,0,0.070898042,2.52,-0.158,0.882769,0.1287415,0.604509154,1
F4JHS4,0.503187614,0.18852459,0,0.043715847,0.82,-0.092,0.566236,0.374305,0.378410555,1
F4JHZ4,0.451859037,0.261881668,0.050436469,0.057225994,1.05,-0.131,0.831949,0.025847667,0.376452774,1
F4JKW0,0.461494828,0.216216216,0,0.039039039,-0.18,-0.245,0.399762,0.344501667,0.432367031,1
F4JKX0,0.467025518,0.206937799,0,0.083732057,2.78,-0.094,1.04576,0.261295,0.562601673,1
F4JLJ3,0.390559611,0.188321168,0.483211679,0.21459854,7.54,0.39,2.00314,0.06518365,0.755864223,1
F4JM05,0.468799102,0.217171717,0,0,0.37,-0.244,0.0954481,0.397451667,0.579644827,1
F4JM55,0.357018284,0.298734177,0.250632911,0.265822785,3.17,-0.197,1.29908,0.221495233,0.800143101,1
F4JP43,0.436513391,0.241040746,0.095238095,0.05694649,1.93,-0.03,1.28367,0.27352,0.754236683,1
F4JPJ7,0.515460415,0.221202854,0,0.057084608,0.2,-0.342,0.608104,0.450545,0.332477011,1
F4JRD9,0.4036317,0.253948967,0.058323208,0.091130012,3.55,0.241,1.21462,0.1605545,0.678431832,1
F4JT98,0.418832117,0.164963504,0,0.188321168,3.16,0.412,0.880106,0.2212565,0.617295562,1
F4JV51,0.428796844,0.150887574,0.068047337,0.121301775,4.47,0.802,0.869145,0.280568667,0.684992789,1
F4JW79,0.380025303,0.289350301,0.505693235,0.28600134,9.92,0.031,4.29843,0.037569412,0.693056166,1
F4JXH7,0.435089497,0.210739615,0,0.040526849,2.23,0.057,1.06873,0.087873167,0.753165824,1
F4JXK3,0.390929928,0.402750491,0.039292731,0.074656189,1.26,-0.281,0.500747,0.042996333,0.67529084,1
F4JYK6,0.468628894,0.19205298,0,0.112582781,4.57,0.123,2.0377,0.225545,0.703823747,1
F4JZ11,0.453028322,0.262745098,0,0.098039216,0.41,-0.069,0.905328,0.40895,0.504355871,1
F4JZ24,0.45136486,0.252595156,0,0,-0.22,-0.321,0.454959,0.184554667,0.383233578,1
F4K1G7,0.482610706,0.238293444,0,0.043704475,1.89,-0.243,0.798151,0.219993333,0.389620433,1
F4K1Z0,0.417037037,0.24040404,0,0.080808081,7.49,0.295,1.70266,0.176791667,0.640792164,1
F4K460,0.455980943,0.257274119,0.062787136,0.033690658,1.08,-0.248,0.637769,0.156096667,0.502497113,1
F4K465,0.422907553,0.217847769,0.014435696,0.069553806,1.81,0.012,1.26218,0.399421667,0.833998594,1
F4K4E3,0.406976744,0.302325581,0.542635659,0.271317829,,-0.369,1.8851,0.094985,0.558412816,1
F4K518,0.456422321,0.182020802,0,0.059435364,2.23,0.286,0.941217,0.01662855,0.544163432,1
F4K5E2,0.412543676,0.225366876,0.032494759,0.029350105,1.65,0.184,1.50053,0.224390333,0.745448713,1
F4K5Y5,0.410051199,0.288601455,0.283751011,0.05982215,2.78,0.184,1.2446,0.267841833,0.753941895,1
F4K6V1,0.453573658,0.207865169,0.20505618,0.179775281,11.85,0.029,1.69905,0.168348833,0.514676406,1
F4K704,0.402227558,0.253301321,0.18967587,0.219687875,3.87,0.068,1.76444,0.224747167,0.7018867,1
F4K7T1,0.40855606,0.236006051,0.080181543,0.148260212,3.88,0.14,0.834808,0.257079667,0.660577583,1
F4KAG0,0.390672154,0.358024691,0.409876543,0.098765432,0.72,-0.424,0.0799621,0.215128333,0.683794173,1
F4KBP5,0.418248613,0.282051282,0.131354026,0.099415205,2.5,-0.057,1.27662,0.0939415,0.635881422,1
F4KDH9,0.353874025,0.357023411,0.738294314,0.112876254,3.56,0.034,2.34463,0.184328333,0.818970987,1
F4KDM9,0.456107262,0.229792148,0,0.053117783,2.66,-0.118,0.846291,0.048881017,0.596667462,1
F4KDR2,0.430745814,0.356164384,0,0.095890411,-0.27,-0.467,-0.332623,0.558183333,0.572556548,1
F4KG14,0.415218731,0.336414048,0.046210721,0.093345656,2.64,-0.279,0.882524,0.338389167,0.494086682,1
F4KHD8,0.495545155,0.19448778,0,0.020280811,1.06,-0.142,0.968138,0.018100333,0.388188933,1
F4KIH8,0.481917211,0.211328976,0.099491649,0.160493827,1.73,-0.099,0.530576,0.041002333,0.440214995,1
H3K2Y6,0.468535918,0.224608501,0,0.070693512,2.18,-0.056,1.03242,0.183266667,0.469689768,1
O04023,0.4218107,0.203703704,0,0.425925926,5.34,0.517,2.16461,0.037952667,0.662773308,1
O04086,0.491573333,0.1968,0,0.048,0.84,-0.239,0.656702,0.038091333,0.38284211,1
O04310,0.458360914,0.173049645,0,0.194326241,9.74,0.055,3.15405,0.01952,0.376193798,1
O04326,0.440155353,0.191489362,0.288753799,0.036474164,1.79,0.075,0.779904,0.397541667,0.743240529,1
O04425,0.410412018,0.165997323,0.077643909,0.180722892,5.05,0.438,1.23057,0.08690205,0.714515842,1
O04658,0.447696477,0.326454034,0.153846154,0.159474672,-0.1,-0.341,1.06571,0.237898333,0.481500261,1
O04848,0.470187793,0.225352113,0.676056338,0.267605634,-0.93,-0.315,1.24502,0.127035,0.610432459,1
O22173,0.443571668,0.212990937,0.019637462,0.18429003,4.34,0.288,1.61228,0.014668767,0.538482502,1
O22197,0.411551491,0.201219512,0.109756098,0.179878049,3.63,0.149,0.875957,0.184889167,0.685485188,1
O22224,0.462601626,0.245063879,0.010452962,0.033681765,0.98,-0.057,0.531099,0.1691,0.388810923,1
O22315,0.361019435,0.336633663,0.442244224,0.386138614,4.53,-0.19,1.86221,0.110288333,0.589797821,1
O22703,0.329452055,0.421232877,0.202054795,0.181506849,2.89,-0.303,2.23177,0.065702833,0.668275506,1
O22714,0.448676171,0.276985743,0,0,-0.5,-0.326,0.535411,0.033283017,0.335567054,1
O22785,0.474010582,0.23047619,0.015238095,0.020952381,1.46,-0.342,0.553282,0.316318333,0.37948098,1
O22791,0.427970297,0.160891089,0.126237624,0.368811881,11.19,0.368,4.09522,0.027887917,0.676706114,1
O22826,0.446161322,0.218658892,0,0,-0.08,-0.16,0.568245,0.227678333,0.312766888,1
O22842,0.481020166,0.138790036,0,0.088967972,2.59,-0.133,0.807691,0.227033333,0.339906152,1
O22873,0.399515592,0.223433243,0.179836512,0.136239782,2.08,0.437,0.377594,0.1176695,0.746469422,1
O22922,0.437404215,0.237068966,0,0.068965517,0.72,0.075,0.000506399,0.1336265,0.45974656,1
O22969,0.447179487,0.292307692,0.507692308,0.092307692,,-0.247,-0.328849,0.60375,0.481685977,1
O23147,0.452900232,0.22737819,0,0.041763341,1.37,-0.225,1.34831,0.184545167,0.337476228,1
O23252,0.421134752,0.272340426,0.191489362,0.076595745,0.93,-0.433,0.739817,0.167833333,0.463657819,1
O23463,0.440893223,0.248104009,0.059588299,0.019501625,2.4,-0.041,0.867462,0.113944833,0.520411599,1
O23515,0.375653595,0.323529412,0,0.078431373,-0.47,-0.319,1.25303,0.4004,0.407813338,1
O23628,0.462173203,0.279411765,0.382352941,0.154411765,,-0.428,0.614361,0.260316667,0.581302168,1
O23676,0.455185185,0.3,0,0,-1.24,-0.567,0.133395,0.271533333,0.369535455,1
O23702,0.466457023,0.256289308,0,0.080188679,0.28,-0.256,0.22904,0.202804,0.47066831,1
O24456,0.485864764,0.229357798,0,0,-0.1,-0.415,0.372922,0.257116667,0.275684404,1
O48549,0.400266667,0.364,0.172,0.232,0.75,-0.47,1.14285,0.153953333,0.470035728,1
O48582,0.389887813,0.134163209,0.041493776,0.12033195,6.95,0.517,2.53703,0.147932817,0.786299819,1
O48788,0.47887538,0.194528875,0.060790274,0.141337386,1.79,-0.019,0.800666,0.021097167,0.411638275,1
O48847,0.440872512,0.171537484,0,0.108005083,2.38,0.317,1.19946,0.152776833,0.61155133,1
O48890,0.448711755,0.31884058,0,0,,-0.424,-0.865469,0.5681,0.403817497,1
O48946,0.473820537,0.226641998,0,0.037927845,1.64,-0.216,0.963596,0.150225,0.403251088,1
O48947,0.477183272,0.229704797,0,0.085793358,1.91,-0.212,0.906194,0.159746667,0.407272298,1
O49429,0.400981172,0.159904535,0.360381862,0.245823389,9.27,0.544,2.14681,0.167933783,0.720568328,1
O49457,0.434642401,0.261494253,0.066091954,0.106321839,5.38,-0.051,1.55481,0.08428,0.497585212,1
O49500,0.432565899,0.177177177,0.001501502,0.091591592,3.3,-0.02,1.17194,0.112504037,0.790022592,1
O49553,0.40789272,0.344827586,0,0,-1.71,-0.611,-0.556108,0.33855,0.385682594,1
O49570,0.412290598,0.169230769,0.218461538,0.261538462,3.91,0.554,0.558608,0.0544585,0.66575884,1
O49607,0.496073298,0.176701571,0,0.073298429,1.96,-0.189,1.2067,0.089916667,0.25780705,1
O49613,0.456935367,0.261437908,0,0,2.44,-0.279,-0.283845,0.243265,0.469085294,1
O64380,0.452575758,0.216666667,0,0.128787879,3.7,0.258,0.908236,0.050635867,0.535261804,1
O64644,0.403216374,0.302631579,0.671052632,0.151315789,-0.25,-0.365,0.384357,0.53585,0.461514107,1
O64740,0.468285504,0.182119205,0,0,-0.55,-0.242,0.734443,0.22325,0.315812032,1
O64768,0.432307964,0.23468576,0,0.054892601,1.95,0.028,1.02699,0.1505135,0.656942827,1
O64843,0.4329806,0.21340388,0.088183422,0.047619048,1.82,-0.041,1.12386,0.084411833,0.647218049,1
O65201,0.467276814,0.229768786,0.014450867,0.024566474,1.17,-0.242,0.701706,0.13475,0.289789497,1
O65421,0.477937267,0.248803828,0,0.071770335,-1.17,-0.347,-1.05349,0.423616667,0.395105015,1
O65449,0.474183611,0.151571165,0,0.027726433,0.94,-0.091,1.20443,0.253633333,0.262747759,1
O65502,0.489395218,0.210126582,0,0.050632911,0.5,-0.28,-0.291359,0.379053333,0.417534864,1
O65655,0.410602071,0.295418641,0.740916272,0.156398104,1.46,-0.263,0.388604,0.3272575,0.733542532,1
O80386,0.395253098,0.316635161,0.448015123,0.108695652,1.82,0.265,1.29789,0.107331167,0.752364131,1
O80512,0.408303465,0.284946237,0.201612903,0.190860215,4.37,0.044,1.02157,0.103706833,0.70803959,1
O80567,0.382059123,0.218348624,0.163302752,0.31559633,6.3,0.521,1.3956,0.082571217,0.701699954,1
O80653,0.374152619,0.358890701,0.536704731,0.169657423,2.45,-0.24,1.60586,0.060686,0.702070749,1
O80678,0.409164819,0.243902439,0.152993348,0.263858093,6.43,0.352,2.07431,0.066992,0.67067155,1
O80837,0.409590643,0.384210526,0.984210526,0.205263158,-0.44,-0.68,-0.150172,0.034606833,0.696757512,1
O80910,0.425219407,0.17585693,0.436661699,0.333830104,3.41,0.785,0.651589,0.147625833,0.674346764,1
O80983,0.481140555,0.249651325,0.059972106,0.152022315,0.61,-0.2,0.868589,0.203915667,0.449014832,1
O81098,0.447317073,0.297560976,0,0,-0.95,-0.411,-0.530903,0.5142,0.359258181,1
O81416,0.479651163,0.178294574,0,0.048449612,0.59,-0.111,0.618346,0.107216667,0.281759717,1
O81845,0.519571532,0.199346405,0,0,0.12,-0.29,0.806319,0.252065,0.392904303,1
O82169,0.433189655,0.267241379,0,0.11637931,1.42,-0.232,0.18018,0.368513333,0.58287466,1
O82170,0.387341072,0.104477612,0.253731343,0.228855721,4.07,0.422,0.381662,0.127249333,0.857695969,1
O82204,0.430846931,0.251748252,0.636363636,0,-0.6,-0.288,0.399712,0.290183333,0.432513542,1
O82659,0.404602235,0.390532544,0.071005917,0,-0.71,-0.598,0.426519,0.314046667,0.478375802,1
O82762,0.405168776,0.129746835,0.511075949,0.416139241,7.97,0.464,2.45313,0.0393231,0.763237582,1
O82804,0.39804956,0.220143885,0.109352518,0.2,4.56,0.484,1.08469,0.349553833,0.828064634,1
P04778,0.50233042,0.179775281,0,0,1.19,-0.315,0.96621,0.288156667,0.515608444,1
P0CJ46,0.477424108,0.233421751,0,0,1.29,-0.293,0.259048,0.15395,0.282298066,1
P0DKJ6,0.487976783,0.186567164,0,0.114427861,1.36,-0.134,0.493347,0.123178333,0.315762695,1
P0DKL6,0.479086582,0.23723229,0,0.010708402,0.96,-0.282,1.07571,0.423283333,0.262936085,1
P10896,0.465822785,0.229957806,0,0.025316456,1.08,-0.062,1.17181,0.433883333,0.486686945,1
P16181,0.443125,0.26875,0.00625,0.09375,0.47,-0.461,1.02361,0.44985,0.451674198,1
P17094,0.435475578,0.287917738,0,0.023136247,0.55,-0.36,0.937215,0.5201,0.345515977,1
P18616,0.44271041,0.234366504,0.131593257,0.14627515,6.69,0.192,0.959986,0.0407,0.411117349,1
